Num_Of_OP_Claims_Total,income,beds,Weighted_Safety_Domain_Score,households,ip_avg_stay,cmi_recent_value,ip_total_costs,Total_Performance_Score,Num_Of_OP_Claims_Total_score,income_score,beds_score,households_score,ip_avg_stay_score,cmi_recent_value_score,ip_total_costs_score,Total_Performance_Score_score,Weighted_Safety_Domain_Score_score,model_score,GPO_Text__c_Vizient_score,is_preimer,is_intalere,is_vazient,beds_score_size,Account_id_x,Provider_Number_x,Definitive_ID,Customer_ID,initial_score,score_label,is_kids_hospital,Provider_Number_y,GPO_Affiliations,Hospital_Name,post_state_score_label,post_state_applied,post_HealthTrust_score_label,post_HealthTrust_applied,post_Vazient_and_kids_score_label,post_Vazient_and_kids_applied,final_score,Account_id_y,first_year_month_transaction,Daily_Revenue_mean_2018,Daily_Revenue_sum_2018,Total_Daily_Revenue,is_quva_customer,Provider_Number,Zip_Code,IDN,Definitive_IDN_ID,City,State_y,Territory,Assigned_Name,weighted_score,idn_average_beds,Number_of_Hospitals,idn_final_score_label,is_independent,Pharmacy_Costs,Provider_ID,Total_Costs,Total_Charges,Pharmacy_Total_Cost,Longitude,Latitude,Num_Of_OP_Claims_Total_bucket,income_bucket,beds_bucket,households_bucket,ip_avg_stay_bucket,cmi_recent_value_bucket,ip_total_costs_bucket,Total_Performance_Score_bucket,Weighted_Safety_Domain_Score_bucket
1948,52.658,28,0,10693,4,1.538,168804,49.545,0.167,0.333,0,0.25,1,0.333,0.333,0.5,0,47.917,1,0,0,1,11.111,,270087,2460,nan,40.556,C,FALSE,270087,"Vizient, Managed Healthcare Associates (MHA)",Health Center Northwest,C,FALSE,C,FALSE,C,FALSE,C,,,,,,FALSE,270087,59901,Kalispell Regional Healthcare,550492,KALISPELL,MT,Denver,"Ramirez,Ma",0.082,341,3,A,FALSE,,270087,51919455,125108192,0,-114.3039,48.2028,"(1001.0, 5000.0]","(48.525, 80.564]","(3.0, 50.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(39.828, 63.414]","(0.0, 5.0]"
2347,51.88,67,7,8656,5,1.77,6759907,45.25,0.167,0.333,0.125,0.25,1,0.333,0,0.5,0.143,48.929,1,0,0,1,33.333,0014100001blF8aAAE,270017,2488,10793,45.81,C,FALSE,270017,"Vizient, Managed Healthcare Associates (MHA), AmerisourceBergen",St James Healthcare,C,FALSE,C,FALSE,C,FALSE,C,0014100001blF8aAAE,18-Apr,1296.268,5185.07,5185.07,TRUE,270017,59701,Sisters of Charity of Leavenworth Health System (SCL),7240,BUTTE,MT,Denver,"Ramirez,Ma",0.029,2327,13,D,FALSE,2328378,270017,79791733,265307881,2328378,-112.5988,45.9979,"(1001.0, 5000.0]","(48.525, 80.564]","(50.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(5.0, 10.0]"
0,50.996,109,0,3006,2,1.382,3914867,0,0,0.333,0.25,0,1,0.333,0.333,0,0,44.167,1,0,0,1,44.444,0014100001blF8cAAE,271347,2453,10795,44.222,C,FALSE,271347,"Managed Healthcare Associates (MHA), Vizient, AmerisourceBergen",Holy Rosary Healthcare,C,FALSE,C,FALSE,C,FALSE,C,0014100001blF8cAAE,18-May,137.52,412.56,412.56,TRUE,271347,59301,Sisters of Charity of Leavenworth Health System (SCL),7240,MILES CITY,MT,Denver,"Ramirez,Ma",0.047,2327,13,D,FALSE,799011,271347,32700638,64515788,799011,-105.8332,46.4075,"(0.0, 1001.0]","(48.525, 80.564]","(100.0, 150.0]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
2063,84.415,183,8.333,6670,4,1.777,23798370,30.333,0.167,0.667,0.375,0.25,1,0.333,0,0,0.143,52.262,1,0,1,0,77.778,0014100001blF8dAAE,60004,641,10796,57.365,B,FALSE,60004,"Intalere (FKA: Amerinet), Magnet Group, AmerisourceBergen",Platte Valley Medical Center,B,FALSE,B,FALSE,B,FALSE,B,0014100001blF8dAAE,18-Apr,2268.13,9072.52,9072.52,TRUE,60004,80601,Sisters of Charity of Leavenworth Health System (SCL),7240,BRIGHTON,CO,Denver,"Ramirez,Ma",0.079,2327,13,D,FALSE,1434698,60004,175297565,806352800,3867241,-104.7866,39.943,"(1001.0, 5000.0]","(80.564, 141.836]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
2063,84.415,183,8.333,6670,4,1.777,23798370,30.333,0.167,0.667,0.375,0.25,1,0.333,0,0,0.143,52.262,1,0,0,1,77.778,0014100001blF8fAAE,60023,689,10798,57.365,B,FALSE,60023,"Vizient, AmerisourceBergen",St Marys Medical Center (FKA: St Marys Hospital And Medical Center),B,FALSE,B,FALSE,B,FALSE,B,0014100001blF8fAAE,18-Apr,11908.635,47634.54,47634.54,TRUE,60023,81501,Sisters of Charity of Leavenworth Health System (SCL),7240,GRAND JUNCTION,CO,Denver,"Ramirez,Ma",0.079,2327,13,D,FALSE,4065681,60023,286556228,1215295716,5182732,-108.5457,39.0783,"(1001.0, 5000.0]","(80.564, 141.836]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
0,56.128,32,0,4438,2,1.021,4749564,24.583,0,0.333,0,0,1,0,0.333,0,0,10,0,0,0,0,11.111,,64023,6173,nan,10.222,D,FALSE,64023,,West Springs Hospital (Colorado West Hospital),D,FALSE,D,FALSE,D,FALSE,D,,,,,,FALSE,64023,81501,,-1,GRAND JUNCTION,CO,Denver,"Ramirez,Ma",,,,,TRUE,,64023,14588311,35676335,0,-108.5457,39.0783,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 50.0]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
2694,58.639,156,3.272,5038.828,5,1.359,16674035,21.513,0.167,0.333,0.375,0,1,0.333,0,0,0,16.25,0,0,0,0,55.556,,06007F,687,nan,24.111,D,FALSE,06007F,Department of Veterans Affairs,Grand Junction VA Medical Center,D,FALSE,D,FALSE,D,FALSE,D,,,,,,FALSE,06007F,81501,VA Rocky Mountain Network (VISN 19),541811,GRAND JUNCTION,CO,Denver,"Ramirez,Ma",0.111,1404,9,D,FALSE,,,,,,-108.5457,39.0783,"(1001.0, 5000.0]","(48.525, 80.564]","(150.0, 254.456]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
2063,84.415,183,8.333,6670,4,1.777,23798370,30.333,0.167,0.667,0.375,0.25,1,0.333,0,0,0.143,52.262,1,0,0,1,77.778,0014100001blF8gAAE,60009,676,10799,57.365,B,FALSE,60009,"Vizient, AmerisourceBergen",Lutheran Medical Center (FKA Exempla Lutheran Medical Center),B,FALSE,B,FALSE,B,FALSE,B,0014100001blF8gAAE,18-May,14991.577,44974.73,44974.73,TRUE,60009,80033,Sisters of Charity of Leavenworth Health System (SCL),7240,WHEAT RIDGE,CO,Denver,"Ramirez,Ma",0.079,2327,13,D,FALSE,5997947,60009,245653954,1318681451,6299784,-105.0962,39.774,"(1001.0, 5000.0]","(80.564, 141.836]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(5.0, 10.0]"
2694,58.639,156,3.272,5038.828,5,1.359,16674035,21.513,0.167,0.333,0.375,0,1,0.333,0,0,0,16.25,0,0,0,0,55.556,,61991,560442,nan,24.111,D,FALSE,61991,,Wide Horizon,D,FALSE,D,FALSE,D,FALSE,D,,,,,,FALSE,61991,80033,,-1,WHEAT RIDGE,CO,Denver,"Ramirez,Ma",,,,,TRUE,,,,,,-105.0962,39.774,"(1001.0, 5000.0]","(48.525, 80.564]","(150.0, 254.456]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
2063,84.415,183,8.333,6670,4,1.777,23798370,30.333,0.167,0.667,0.375,0.25,1,0.333,0,0,0.143,52.262,1,0,0,1,77.778,0014100000ew9MNAAY,60116,651,10329,57.365,B,FALSE,60116,"Vizient, AmerisourceBergen",Good Samaritan Medical Center (FKA Exempla Good Samaritan Medical Center LLC),B,FALSE,B,FALSE,B,FALSE,B,0014100000ew9MNAAY,17-Jul,18722.27,74889.08,78764.08,TRUE,60116,80026,Sisters of Charity of Leavenworth Health System (SCL),7240,LAFAYETTE,CO,Denver,"Ramirez,Ma",0.079,2327,13,D,FALSE,6299784,60116,245653954,1318681451,6299784,-105.0963,39.998,"(1001.0, 5000.0]","(80.564, 141.836]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
6254,50.354,184,9.333,10307,6,1.752,30863968,29.417,0.333,0.333,0.375,0.25,1,0.333,0,0,0.143,51.429,1,0,0,1,77.778,0014100001blF8eAAE,320005,2738,10797,56.698,B,FALSE,320005,Vizient,San Juan Regional Medical Center,B,FALSE,B,FALSE,B,FALSE,B,0014100001blF8eAAE,18-Apr,6592.205,26368.82,26368.82,TRUE,320005,87401,,-1,FARMINGTON,NM,Denver,"Ramirez,Ma",,,,,TRUE,,320005,212705109,660397235,0,-108.1797,36.7412,"(5000.0, 9140.479]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
0,56.128,18,0,4438,6,1.1,1357599,24.583,0,0.333,0,0,1,0,0.333,0,0,40,1,0,0,1,11.111,,323029,6029,nan,34.222,D,FALSE,323029,Vizient,San Juan Regional Rehab Hospital,D,FALSE,D,FALSE,D,FALSE,D,,,,,,FALSE,323029,87401,,-1,FARMINGTON,NM,Denver,"Ramirez,Ma",,,,,TRUE,,323029,4475904,6914050,0,-108.1797,36.7412,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 50.0]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
0,67.107,20,0,2004,1,1.343,1751794,0,0,0.333,0,0,1,0.333,0.333,0,0,41.667,1,0,1,1,11.111,0014100001blF8hAAE,61320,673,10800,35.556,D,FALSE,61320,"Intalere (FKA: Amerinet), Vizient",Gunnison Valley Health,D,FALSE,D,FALSE,D,FALSE,D,0014100001blF8hAAE,18-Apr,97.07,388.28,388.28,TRUE,61320,81230,,-1,GUNNISON,CO,Denver,"Ramirez,Ma",,,,,TRUE,1489842,61320,26768205,55247116,1489842,-106.931,38.5511,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 50.0]","(0.0, 5323.096]","(6.546, 10.75]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
6864,50.965,478,9.333,8437,6,1.763,34926974,31.333,0.333,0.333,0.5,0.25,1,0.333,0,0,0.143,52.679,1,0,0,1,100,0014100001blF8iAAE,270012,2450,10801,62.143,A,FALSE,270012,Vizient,Benefis Hospital - East Campus,A,FALSE,A,FALSE,A,FALSE,A,0014100001blF8iAAE,18-Apr,11047.4,44189.6,44189.6,TRUE,270012,59405,Benefis Health System,550195,GREAT FALLS,MT,Denver,"Ramirez,Ma",0.623,609,4,B,FALSE,12601228,270012,256846108,836077692,12601228,-111.2502,47.495,"(5000.0, 9140.479]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
1790,50.965,20,0,8437,3,1.595,2653840,90.455,0.167,0.333,0,0.25,1,0.333,0.333,0,0,45.417,1,0,1,0,11.111,,270086,2451,nan,38.556,C,FALSE,270086,"HealthTrust Purchasing Group (HPG), Intalere (FKA: Amerinet), Health Resource Services",Great Falls Clinic Medical Center,C,FALSE,D,TRUE,C,FALSE,D,,,,,,FALSE,270086,59405,Surgery Partners (FKA Symbion Healthcare),574627,GREAT FALLS,MT,Denver,"Ramirez,Ma",0.036,563,16,D,FALSE,,270086,47100276,131358669,0,-111.2502,47.495,"(1001.0, 5000.0]","(48.525, 80.564]","(3.0, 50.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
2550,50.965,158,3.281,8437,5,1.401,16946149,21.536,0.167,0.333,0.375,0.25,1,0.333,0,0,0,47.5,1,0,0,1,66.667,,270012*,550196,nan,51.333,B,FALSE,270012*,Vizient,Benefis Hospital - West Campus,B,FALSE,B,FALSE,B,FALSE,B,,,,,,FALSE,270012*,59405,Benefis Health System,550195,GREAT FALLS,MT,Denver,"Ramirez,Ma",0.206,609,4,B,FALSE,,,,,,-111.2502,47.495,"(1001.0, 5000.0]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
7483,58.89,217,13.333,6782,5,1.741,12268226,35.667,0.333,0.333,0.375,0.25,1,0.333,0,0,0.429,54.286,1,1,0,1,88.889,0014100001blGijAAE,250034,2284,10804,61.206,A,FALSE,250034,"Vizient, Premier Inc",Baptist Memorial Hospital - North Mississippi,A,FALSE,A,FALSE,A,FALSE,A,0014100001blGijAAE,18-May,2188.367,6565.1,6565.1,TRUE,250034,38655,Baptist Memorial Health Care Corporation,4734,OXFORD,MS,New Orleans,"Mangum,Ch",0.061,3230,21,B,FALSE,8449423,250034,164449805,716759363,8959346,-89.4835,34.3308,"(5000.0, 9140.479]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(12.618, 14.957]"
4866,50.367,121,8.5,8028,4,1.395,8123781,46,0.167,0.333,0.25,0.25,1,0.333,0,0.5,0.143,50.179,1,0,0,1,44.444,0014100001blGikAAE,370023,3357,10805,49.032,C,FALSE,370023,Vizient,Duncan Regional Hospital,C,FALSE,C,FALSE,C,FALSE,C,0014100001blGikAAE,18-May,601.32,1803.96,1803.96,TRUE,370023,73533,Duncan Regional Hospital System,925239,DUNCAN,OK,Dallas,"Ballew,Ho",0.829,146,2,D,FALSE,3383288,370023,70151693,321854610,3383288,-97.9403,34.5073,"(1001.0, 5000.0]","(48.525, 80.564]","(100.0, 150.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(5.0, 10.0]"
2086,79.294,229,10.667,8281,5,1.861,29393902,35.5,0.167,0.333,0.375,0.25,1,0.333,0,0,0.286,50.357,1,0,0,1,88.889,0014100001blGinAAE,50272,522,10808,58.063,B,FALSE,50272,"Vizient, McKesson Pharmaceutical",Redlands Community Hospital,A,TRUE,B,FALSE,B,FALSE,A,0014100001blGinAAE,18-Jun,518.4,518.4,518.4,TRUE,50272,92373,,-1,REDLANDS,CA,Los Angeles,"Schmit,Ke",,,,,TRUE,3904527,50272,202900133,1386034604,4117591,-117.1804,34.0397,"(1001.0, 5000.0]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(10.0, 12.618]"
0,56.128,89,0,4438,2,0.958,10494028,24.583,0,0.333,0.125,0,1,0,0,0,0,39.583,1,1,1,0,33.333,,54093,6064,nan,38.333,C,FALSE,54093,"Intalere (FKA: Amerinet), Premier Inc",Loma Linda University Behavioral Medicine Center,B,TRUE,C,FALSE,C,FALSE,B,,,,,,FALSE,54093,92373,Loma Linda University Health,550027,REDLANDS,CA,Los Angeles,"Schmit,Ke",0.073,902,7,A,FALSE,979271,54093,47444547,102845820,976537,-117.1804,34.0397,"(0.0, 1001.0]","(48.525, 80.564]","(50.0, 100.0]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
2550,79.294,158,3.281,8281,5,1.401,16946149,21.536,0.167,0.333,0.375,0.25,1,0.333,0,0,0,47.5,1,1,0,0,66.667,,050327*,550029,nan,51.333,B,FALSE,050327*,Premier Inc,Loma Linda University Heart & Surgical Hospital,A,TRUE,B,FALSE,B,FALSE,A,,,,,,FALSE,050327*,92373,Loma Linda University Health,550027,REDLANDS,CA,Los Angeles,"Schmit,Ke",0.13,902,7,A,FALSE,,,,,,-117.1804,34.0397,"(1001.0, 5000.0]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
15223,114.312,807,6,3965,7,2.013,76445931,30.333,0.5,0.667,0.5,0,0,0.667,0,0,0.143,53.929,1,1,0,1,100,0014100001blGimAAE,440048,3817,10807,63.143,A,FALSE,440048,"Vizient, Premier Inc",Baptist Memorial Hospital - Memphis,A,FALSE,A,FALSE,A,FALSE,A,0014100001blGimAAE,18-May,4632.1,13896.3,13896.3,TRUE,440048,38120,Baptist Memorial Health Care Corporation,4734,MEMPHIS,TN,New Orleans,"Mangum,Ch",0.228,3230,21,B,FALSE,52294640,440048,586514264,2995309899,52497292,-89.8651,35.1207,"(9140.479, 35608.014]","(80.564, 141.836]","(254.456, 1532.489]","(0.0, 5323.096]","(-0.474, 6.546]","(1.897, 2.489]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
0,56.128,140,0,4438,0,0,9202281,24.583,0,0.333,0.25,0,1,0,0,0,0,40.833,1,1,0,0,44.444,,440222,855022,nan,41.556,C,FALSE,440222,Premier Inc,Spence and Becky Wilson Baptist Childrens Hospital,C,FALSE,C,FALSE,C,FALSE,C,,,,,,FALSE,440222,38120,Baptist Memorial Health Care Corporation,4734,MEMPHIS,TN,New Orleans,"Mangum,Ch",0.039,3230,21,B,FALSE,,440222,61106993,128900828,1712782,-89.8651,35.1207,"(0.0, 1001.0]","(48.525, 80.564]","(100.0, 150.0]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
