Num_Of_OP_Claims_Total,income,beds,Weighted_Safety_Domain_Score,households,ip_avg_stay,cmi_recent_value,ip_total_costs,Total_Performance_Score,Num_Of_OP_Claims_Total_score,income_score,beds_score,households_score,ip_avg_stay_score,cmi_recent_value_score,ip_total_costs_score,Total_Performance_Score_score,Weighted_Safety_Domain_Score_score,model_score,GPO_Text__c_Vizient_score,is_preimer,is_intalere,is_vazient,beds_score_size,initial_score,score_label,is_kids_hospital,Provider_Number,GPO_Affiliations,Hospital_Name_x,post_state_score_label,post_HealthTrust_score_label,post_Vazient_and_kids_score_label,post_state_applied,post_HealthTrust_applied,post_Vazient_and_kids_applied,final_score,Daily_Revenue_sum_2018,Daily_Revenue_mean_2018,first_year_month_transaction,Total_Daily_Revenue,is_quva_customer,Zip_Code,IDN,Definitive_IDN_ID,City,State_y,Territory,Assigned_Name,weighted_score,idn_average_beds,Number_of_Hospitals,is_independent,Longitude,Latitude,Num_Of_OP_Claims_Total_bucket,income_bucket,beds_bucket,households_bucket,ip_avg_stay_bucket,cmi_recent_value_bucket,ip_total_costs_bucket,Total_Performance_Score_bucket,Weighted_Safety_Domain_Score_bucket
0,54.73,15,3.359,3092,1.544,0.972,1600384,21.597,0,0.333,0,0,1,0,0.333,0,0,40,1,0,0,1,4.444,32.889,D,FALSE,151302,Vizient,Indiana University Health Blackford Hospital,D,D,D,FALSE,FALSE,FALSE,D,,,-1,,FALSE,47348,Indiana University Health System (AKA IU Health),7012,HARTFORD CITY,IN,Detroit,"Satow, Ma",0.006,174,14,FALSE,-85.3758,40.4541,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 100.0]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
0,53.04,25,3.359,4374,2.846,1.38,2897558,21.597,0,0.333,0,0,1,0.333,0.333,0,0,41.667,1,0,0,1,4.444,34.222,C,FALSE,131328,Vizient,Bonner General Hospital,C,C,C,FALSE,FALSE,FALSE,C,2003.44,500.86,201804,2003.44,TRUE,83864,,-1,SANDPOINT,ID,Seattle,"Fletcher, Mi",,,,TRUE,-116.5332,48.312,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 100.0]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
13734.125,52.38,285,9.667,14964,5.074,1.661,25558674,33.083,0.5,0.333,0.6,0.25,1,0.333,0,0,0.143,56.179,1,0,0,1,35.556,52.054,A,FALSE,360039,Vizient,Genesis Hospital,A,A,A,FALSE,FALSE,FALSE,A,,,-1,,FALSE,43701,Franciscan Sisters of Christian Charity Sponsored Ministries Inc (AKA: Franciscan Sisters Of Christian Charity Healthcare Ministry),7206,ZANESVILLE,OH,Pittsburgh,"Demetra,Mi",0.454,209.333,2,FALSE,-82.0041,39.9274,"(9140.479, 35608.014]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
13734.125,52.38,285,9.667,14964,5.074,1.661,25558674,33.083,0.5,0.333,0.6,0.25,1,0.333,0,0,0.143,56.179,1,0,0,1,35.556,52.054,A,FALSE,360039,Vizient,Genesis Hospital,A,A,A,FALSE,FALSE,FALSE,A,,,-1,,FALSE,43701,Franciscan Sisters of Christian Charity Sponsored Ministries Inc (AKA: Franciscan Sisters Of Christian Charity Healthcare Ministry),7206,ZANESVILLE,OH,Pittsburgh,"Demetra,Mi",0.454,209.333,2,FALSE,-82.0041,39.9274,"(9140.479, 35608.014]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
10972,54.873,223,14.667,13079,4.492,1.68,23214033,44.25,0.5,0.333,0.4,0.25,1,0.333,0,0.5,0.429,59.536,1,0,0,1,31.111,53.851,A,FALSE,150048,Vizient,Reid Health (FKA: Reid Hospital & Health Care Services),A,A,A,FALSE,FALSE,FALSE,A,8402.94,2100.735,201804,8402.94,TRUE,47374,,-1,RICHMOND,IN,Detroit,"Satow, Ma",,,,TRUE,-84.8936,39.8324,"(9140.479, 35608.014]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(12.618, 14.957]"
0,56.128,213,3.359,4438,0,0,6884107,24.583,0,0.333,0.4,0,1,0,0,0,0,42.333,1,0,0,1,31.111,40.089,C,FALSE,154018,Vizient,Richmond State Hospital,C,C,C,FALSE,FALSE,FALSE,C,,,-1,,FALSE,47374,Indiana State Psychiatric Hospitals,860797,RICHMOND,IN,Detroit,"Satow, Ma",0.401,177,3,FALSE,-84.8936,39.8324,"(0.0, 1001.0]","(48.525, 80.564]","(150.0, 254.456]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
9089.625,66.809,862,7,6223,5.91,1.975,132008631,27.083,0.333,0.333,0.6,0.25,1,0.667,0,0,0.143,55.345,1,0,0,1,40,52.276,A,FALSE,50100,Vizient,Sharp Memorial Hospital,A,A,A,TRUE,FALSE,FALSE,A,,,-1,,FALSE,92123,Sharp HealthCare,4728,SAN DIEGO,CA,Los Angeles,"Schmit,Ke",0.294,488.333,5,FALSE,-117.1392,32.7973,"(5000.0, 9140.479]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.897, 2.489]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
9089.625,66.809,862,7,6223,5.91,1.975,132008631,27.083,0.333,0.333,0.6,0.25,1,0.667,0,0,0.143,55.345,1,0,0,1,40,52.276,A,FALSE,50100,Vizient,Sharp Memorial Hospital,A,A,A,TRUE,FALSE,FALSE,A,,,-1,,FALSE,92123,Sharp HealthCare,4728,SAN DIEGO,CA,Los Angeles,"Schmit,Ke",0.294,488.333,5,FALSE,-117.1392,32.7973,"(5000.0, 9140.479]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.897, 2.489]","(15070.302, 6021665.45]","(0.0, 39.828]","(5.0, 10.0]"
0,66.809,425,3.359,6223,1.894,1.449,99151470,21.597,0,0.333,0.6,0.25,1,0.333,0,0,0,47.25,1,0,1,1,40,45.8,B,TRUE,53303,"Intalere (FKA: Amerinet), Vizient",Rady Childrens Hospital San Diego,A,B,A,TRUE,FALSE,TRUE,A,,,-1,,FALSE,92123,,-1,SAN DIEGO,CA,Los Angeles,"Schmit,Ke",,,,TRUE,-117.1392,32.7973,"(0.0, 1001.0]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
0,56.128,158,3.359,4438,3.224,1.084,21742545,24.583,0,0.333,0.4,0,1,0,0,0,0,42.333,1,0,0,1,26.667,39.2,C,FALSE,54145,Vizient,Sharp Mesa Vista Hospital,B,C,C,TRUE,FALSE,FALSE,B,,,-1,,FALSE,92123,Sharp HealthCare,4728,SAN DIEGO,CA,Los Angeles,"Schmit,Ke",0.054,488.333,5,FALSE,-117.1392,32.7973,"(0.0, 1001.0]","(48.525, 80.564]","(150.0, 254.456]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
9303.125,52.658,288,10,10693,4.32,1.891,23140486,37.583,0.5,0.333,0.6,0.25,1,0.333,0,0,0.143,56.179,1,0,1,1,35.556,52.054,A,FALSE,270051,"Magnet Group, Vizient, Health Resource Services, Intalere (FKA: Amerinet), Managed Healthcare Associates (MHA)",Kalispell Regional Medical Center,A,A,A,FALSE,FALSE,FALSE,A,1877.76,1877.76,201807,1877.76,TRUE,59901,Kalispell Regional Healthcare,550492,KALISPELL,MT,Denver,"Ramirez,Ma",0.845,113.667,3,FALSE,-114.3039,48.2028,"(9140.479, 35608.014]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
1947.75,52.658,28,3.359,10693,3.698,1.538,168804,49.545,0.167,0.333,0,0.25,1,0.333,0.333,0.5,0,47.917,1,0,0,1,8.889,40.111,C,FALSE,270087,"Vizient, Managed Healthcare Associates (MHA)",Health Center Northwest,C,C,C,FALSE,FALSE,FALSE,C,,,-1,,FALSE,59901,Kalispell Regional Healthcare,550492,KALISPELL,MT,Denver,"Ramirez,Ma",0.082,113.667,3,FALSE,-114.3039,48.2028,"(1001.0, 5000.0]","(48.525, 80.564]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(0.0, 5.0]"
2347.25,51.88,67,7,8656,4.682,1.77,6759907,45.25,0.167,0.333,0,0.25,1,0.333,0,0.5,0.143,47.679,1,0,0,1,17.778,41.698,C,FALSE,270017,"Vizient, Managed Healthcare Associates (MHA), AmerisourceBergen",St James Healthcare,C,C,C,FALSE,FALSE,FALSE,C,5185.07,1296.268,201804,5185.07,TRUE,59701,Sisters of Charity of Leavenworth Health System (SCL),7240,BUTTE,MT,Denver,"Ramirez,Ma",0.03,205,8,FALSE,-112.5988,45.9979,"(1001.0, 5000.0]","(48.525, 80.564]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(5.0, 10.0]"
0,50.996,109,3.359,3006,1.742,1.382,3914867,21.597,0,0.333,0.2,0,1,0.333,0.333,0,0,43.667,1,0,0,1,22.222,39.378,C,FALSE,271347,"Managed Healthcare Associates (MHA), Vizient, AmerisourceBergen",Holy Rosary Healthcare,C,C,C,FALSE,FALSE,FALSE,C,412.56,137.52,201805,412.56,TRUE,59301,Sisters of Charity of Leavenworth Health System (SCL),7240,MILES CITY,MT,Denver,"Ramirez,Ma",0.048,205,8,FALSE,-105.8332,46.4075,"(0.0, 1001.0]","(48.525, 80.564]","(100.0, 150.0]","(0.0, 5323.096]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(0.0, 5.0]"
2063.375,84.415,183,8.333,6670,4.352,1.777,23798370,30.333,0.167,0.667,0.4,0.25,1,0.333,0,0,0.143,52.512,1,0,0,1,31.111,48.232,B,FALSE,60116,"Vizient, AmerisourceBergen",Good Samaritan Medical Center (FKA Exempla Good Samaritan Medical Center LLC),B,B,B,FALSE,FALSE,FALSE,B,9072.52,2268.13,201804,9072.52,TRUE,80026,Sisters of Charity of Leavenworth Health System (SCL),7240,LAFAYETTE,CO,Denver,"Ramirez,Ma",0.081,205,8,FALSE,-105.0963,39.998,"(1001.0, 5000.0]","(80.564, 141.836]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
2063.375,84.415,183,8.333,6670,4.352,1.777,23798370,30.333,0.167,0.667,0.4,0.25,1,0.333,0,0,0.143,52.512,1,0,0,1,31.111,48.232,B,FALSE,60116,"Vizient, AmerisourceBergen",Good Samaritan Medical Center (FKA Exempla Good Samaritan Medical Center LLC),B,B,B,FALSE,FALSE,FALSE,B,47634.54,11908.635,201804,47634.54,TRUE,80026,Sisters of Charity of Leavenworth Health System (SCL),7240,LAFAYETTE,CO,Denver,"Ramirez,Ma",0.081,205,8,FALSE,-105.0963,39.998,"(1001.0, 5000.0]","(80.564, 141.836]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
2063.375,84.415,183,8.333,6670,4.352,1.777,23798370,30.333,0.167,0.667,0.4,0.25,1,0.333,0,0,0.143,52.512,1,0,0,1,31.111,48.232,B,FALSE,60116,"Vizient, AmerisourceBergen",Good Samaritan Medical Center (FKA Exempla Good Samaritan Medical Center LLC),B,B,B,FALSE,FALSE,FALSE,B,44974.73,14991.577,201805,44974.73,TRUE,80026,Sisters of Charity of Leavenworth Health System (SCL),7240,LAFAYETTE,CO,Denver,"Ramirez,Ma",0.081,205,8,FALSE,-105.0963,39.998,"(1001.0, 5000.0]","(80.564, 141.836]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
2063.375,84.415,183,8.333,6670,4.352,1.777,23798370,30.333,0.167,0.667,0.4,0.25,1,0.333,0,0,0.143,52.512,1,0,0,1,31.111,48.232,B,FALSE,60116,"Vizient, AmerisourceBergen",Good Samaritan Medical Center (FKA Exempla Good Samaritan Medical Center LLC),B,B,B,FALSE,FALSE,FALSE,B,74889.08,18722.27,201707,78764.08,TRUE,80026,Sisters of Charity of Leavenworth Health System (SCL),7240,LAFAYETTE,CO,Denver,"Ramirez,Ma",0.081,205,8,FALSE,-105.0963,39.998,"(1001.0, 5000.0]","(80.564, 141.836]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
6253.5,50.354,184,9.333,10307,5.648,1.752,30863968,29.417,0.333,0.333,0.4,0.25,1,0.333,0,0,0.143,51.679,1,0,0,1,31.111,47.565,B,FALSE,320005,Vizient,San Juan Regional Medical Center,B,B,B,FALSE,FALSE,FALSE,B,26368.82,6592.205,201804,26368.82,TRUE,87401,,-1,FARMINGTON,NM,Denver,"Ramirez,Ma",,,,TRUE,-108.1797,36.7412,"(5000.0, 9140.479]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(6.546, 10.75]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(5.0, 10.0]"
0,56.128,18,3.359,4438,5.636,1.1,1357599,24.583,0,0.333,0,0,1,0,0.333,0,0,40,1,0,0,1,4.444,32.889,D,FALSE,323029,Vizient,San Juan Regional Rehab Hospital,D,D,D,FALSE,FALSE,FALSE,D,,,-1,,FALSE,87401,,-1,FARMINGTON,NM,Denver,"Ramirez,Ma",,,,TRUE,-108.1797,36.7412,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 100.0]","(0.0, 5323.096]","(6.546, 10.75]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
0,67.107,20,3.359,2004,1.346,1.343,1751794,21.597,0,0.333,0,0,1,0.333,0.333,0,0,41.667,1,0,1,1,4.444,34.222,C,FALSE,61320,"Intalere (FKA: Amerinet), Vizient",Gunnison Valley Health,C,C,C,FALSE,FALSE,FALSE,C,388.28,97.07,201804,388.28,TRUE,81230,,-1,GUNNISON,CO,Denver,"Ramirez,Ma",,,,TRUE,-106.931,38.5511,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 100.0]","(0.0, 5323.096]","(6.546, 10.75]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
6863.5,50.965,478,9.333,8437,5.642,1.763,34926974,31.333,0.333,0.333,0.6,0.25,1,0.333,0,0,0.143,53.679,1,0,0,1,40,50.943,B,FALSE,270012,Vizient,Benefis Hospital - East Campus,B,B,B,FALSE,FALSE,FALSE,B,44189.6,11047.4,201804,44189.6,TRUE,59405,Benefis Health System,550195,GREAT FALLS,MT,Denver,"Ramirez,Ma",0.785,203,3,FALSE,-111.2502,47.495,"(5000.0, 9140.479]","(48.525, 80.564]","(254.456, 1532.489]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(15070.302, 6021665.45]","(0.0, 39.828]","(5.0, 10.0]"
1790.125,50.965,20,3.359,8437,3.334,1.595,2653840,90.455,0.167,0.333,0,0.25,1,0.333,0.333,0,0,45.417,1,0,1,0,4.444,37.222,C,FALSE,270086,"HealthTrust Purchasing Group (HPG), Intalere (FKA: Amerinet), Health Resource Services",Great Falls Clinic Medical Center,C,D,C,FALSE,TRUE,FALSE,D,,,-1,,FALSE,59405,Surgery Partners (FKA Symbion Healthcare),574627,GREAT FALLS,MT,Denver,"Ramirez,Ma",0.047,26.875,16,FALSE,-111.2502,47.495,"(1001.0, 5000.0]","(48.525, 80.564]","(3.0, 100.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
7483.25,58.89,217,13.333,6782,4.928,1.741,12268226,35.667,0.333,0.333,0.4,0.25,1,0.333,0,0,0.429,54.536,1,1,0,1,31.111,49.851,B,FALSE,250034,"Vizient, Premier Inc",Baptist Memorial Hospital - North Mississippi,B,B,B,FALSE,FALSE,FALSE,B,6565.1,2188.367,201805,6565.1,TRUE,38655,Baptist Memorial Health Care Corporation,4734,OXFORD,MS,New Orleans,"Mangum,Ch",0.049,246.778,16,FALSE,-89.4835,34.3308,"(5000.0, 9140.479]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(12.618, 14.957]"
4866.125,50.367,121,8.5,8028,4.218,1.395,8123781,46,0.167,0.333,0.2,0.25,1,0.333,0,0.5,0.143,49.679,1,0,0,1,22.222,44.187,B,FALSE,370023,Vizient,Duncan Regional Hospital,B,B,B,FALSE,FALSE,FALSE,B,1803.96,601.32,201805,1803.96,TRUE,73533,Duncan Regional Hospital System,925239,DUNCAN,OK,Dallas,"Ballew,Ho",0.829,73,2,FALSE,-97.9403,34.5073,"(1001.0, 5000.0]","(48.525, 80.564]","(100.0, 150.0]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(39.828, 63.414]","(5.0, 10.0]"
2085.75,79.294,229,10.667,8281,4.616,1.861,29393902,35.5,0.167,0.333,0.4,0.25,1,0.333,0,0,0.286,50.607,1,0,0,1,31.111,46.708,B,FALSE,50272,"Vizient, McKesson Pharmaceutical",Redlands Community Hospital,A,B,B,TRUE,FALSE,FALSE,A,518.4,518.4,201806,518.4,TRUE,92373,,-1,REDLANDS,CA,Los Angeles,"Schmit,Ke",,,,TRUE,-117.1804,34.0397,"(1001.0, 5000.0]","(48.525, 80.564]","(150.0, 254.456]","(5323.096, 15075.413]","(-0.474, 6.546]","(1.185, 1.897]","(6021665.45, 313446375.0]","(0.0, 39.828]","(10.0, 12.618]"
0,56.128,89,3.359,4438,1.74,0.958,10494028,24.583,0,0.333,0,0,1,0,0,0,0,38.333,1,1,1,0,22.222,35.111,C,FALSE,54093,"Intalere (FKA: Amerinet), Premier Inc",Loma Linda University Behavioral Medicine Center,B,C,C,TRUE,FALSE,FALSE,B,,,-1,,FALSE,92373,Loma Linda University Health,550027,REDLANDS,CA,Los Angeles,"Schmit,Ke",0.091,245.75,4,FALSE,-117.1804,34.0397,"(0.0, 1001.0]","(48.525, 80.564]","(3.0, 100.0]","(0.0, 5323.096]","(-0.474, 6.546]","(0.0, 1.185]","(6021665.45, 313446375.0]","(0.0, 39.828]","(0.0, 5.0]"
